time,open,high,low,close,Volume
1985-02-01,149.75,153.7,139.85,139.96,0
1985-03-01,139.5,146.2,139.25,144.43,0
1985-04-01,144.25,147.93,138.45,145.67,0
1985-05-01,145.46,147.6,142.76,144.1,0
1985-06-03,144.1,150.2,141.5,143.56,0
1985-07-01,143.05,143.64,131.25,133.49,0
1985-08-01,135,140.7,131.7,138.63,0
1985-09-02,138.1,139.65,134.4,138,0
1985-10-01,135.75,162.69,134.65,161.55,0
1985-11-01,163.5,168.6,153.77,168.56,0
1985-12-02,172.56,249,171.5,241.29,0
1986-01-01,255,276,207.35,214.43,0
1986-02-03,213.5,261,201.95,246.96,0
1986-03-03,241,257,231.15,246.41,0
1986-04-01,242.6,244.5,215.25,233.27,0
1986-05-01,233.1,238.75,185.75,187.98,0
1986-06-02,185.15,197,166.3,169.28,0
1986-07-01,173.25,190.5,157,169.47,0
1986-08-01,167.7,208,155,204.36,0
1986-09-01,204.5,219.5,195.5,201.36,0
1986-10-01,196.5,205.7,167.5,173.71,0
1986-11-03,173.25,182,146.25,150.85,0
1986-12-01,145.75,150.9,131.2,136.83,0
1987-01-01,134.42,136.9,120.25,123.98,0
1987-02-02,122.75,130.5,115.5,129.31,0
1987-03-02,124.55,126.8,99.9,100.04,0
1987-04-01,99.8,123.3,98.1,120.56,0
1987-05-01,118.1,127.25,114.75,119.46,0
1987-06-01,117.5,118.46,102.7,105.75,0
1987-07-01,105.7,108.5,99.5,101.54,0
1987-08-03,101.75,119.22,101.75,118.52,0
1987-09-01,117.7,119.9,111.1,112.77,0
1987-10-01,113.6,126.01,113.3,122.52,0
1987-11-02,122.3,133.25,122.25,129.7,0
1987-12-01,129,131.2,125.8,125.96,0
1988-01-01,125.55,131.8,125.5,131.55,0
1988-02-01,131.55,144.4,131.55,135.31,0
1988-03-01,135.4,137.5,131.7,134.51,0
1988-04-01,134.25,138.1,132.25,132.6,0
1988-05-02,132.5,137.15,130.25,133.77,0
1988-06-01,134.6,143.15,130.35,131.43,0
1988-07-01,132.3,139,118.5,124.72,0
1988-08-01,125.1,128.8,108,123.83,0
1988-09-01,123.55,133,122.1,131.93,0
1988-10-03,128.5,129.7,122,123.61,0
1988-11-01,123.25,129,122.3,123.77,0
1988-12-01,122.6,162.5,122.6,159.34,0
1989-01-02,161.1,166.9,132.53,132.64,0
1989-02-01,132.53,141.5,122.9,127.32,0
1989-03-01,128.4,135.24,125.55,128.13,0
1989-04-03,127.5,138,126,127.45,0
1989-05-01,126.85,136.15,125.3,130.68,0
1989-06-01,129.8,131.4,102.7,108.06,0
1989-07-03,103.5,105.9,78.9,78.99,0
1989-08-01,79.3,87.59,76.85,85.76,0
1989-09-01,85.8,88.5,78.3,80.6,0
1989-10-02,80.5,81.4,68.3,74.85,0
1989-11-01,74.5,81.65,72.5,77.7,0
1989-12-01,77.6,83.1,75.2,79.57,0
1990-01-01,79.57,83.7,76.6,79.99,0
1990-02-01,79.8,94.4,79.6,93.79,0
1990-03-01,94,105.5,87.3,92.14,0
1990-04-02,92.5,102,90.6,93.73,0
1990-05-01,93.4,98.3,90.05,94.05,0
1990-06-01,93.5,95.4,85.25,85.6,0
1990-07-02,85.1,93.8,84.5,93.8,0
1990-08-01,93.75,104.25,90.15,102.85,0
1990-09-03,102.25,104.6,92.75,93,0
1990-10-01,92.75,94.85,90.4,90.5,0
1990-11-01,89.5,91.1,84.4,86.9,0
1990-12-03,87.1,95.8,86.9,88.65,0
1991-01-01,89.1,91.3,82.2,83,0
1991-02-01,83.5,95.25,81.75,92.75,0
1991-03-01,92.95,100,89.7,94.7,0
1991-04-01,94.25,95.4,88.75,89.35,0
1991-05-01,89.35,90.75,85.9,86.7,0
1991-06-03,86.3,89.5,85.25,85.9,0
1991-07-01,86.15,87.35,79.6,81.4,0
1991-08-01,81.1,89.5,80,89,0
1991-09-02,88.8,94.55,81.65,82.9,0
1991-10-01,82.55,84.35,78.9,80.55,0
1991-11-01,79.5,86,76.45,83.8,0
1991-12-02,83.6,86.5,76.85,77.7,0
1992-01-01,76.8,80.5,72.15,72.15,0
1992-02-03,72.3,74.2,66.15,70.9,0
1992-03-02,70.7,75.2,67.3,68.5,0
1992-04-01,68.65,74.2,62.4,62.9,0
1992-05-01,62.8,65.75,58.75,63.3,0
1992-06-01,63.5,64.75,56.8,58.1,0
1992-07-01,58.1,63.25,54.8,56.25,0
1992-08-03,56.25,57.1,51,54.2,0
1992-09-01,54.2,58.3,49.8,55.7,0
1992-10-01,56,68.5,56,68.45,0
1992-11-02,68.1,74.1,61.9,73,0
