Date,Negative_News,Total_News
2018-09-27,866.25,15145.25
2018-10-27,856.8333333333334,15123.833333333334
2018-11-27,847.4166666666666,15102.416666666666
2018-12-27,838.0,15081.0
2019-01-27,856.6666666666666,15141.5
2019-02-27,875.3333333333334,15202.0
2019-03-27,894.0,15262.5
2019-04-27,912.6666666666666,15323.0
2019-05-27,931.3333333333334,15383.5
2019-06-27,950.0,15444.0
2019-07-27,968.6666666666667,15504.5
2019-08-27,987.3333333333334,15565.0
2019-09-27,1006.0,15625.5
2019-10-27,1024.6666666666667,15686.0
2019-11-27,1043.3333333333333,15746.5
2019-12-27,1062.0,15807.0
2020-01-27,1049.4166666666667,15706.416666666666
2020-02-27,1036.8333333333333,15605.833333333334
2020-03-27,1024.25,15505.25
2020-04-27,1011.6666666666666,15404.666666666666
2020-05-27,999.0833333333334,15304.083333333334
2020-06-27,986.5,15203.5
2020-07-27,973.9166666666666,15102.916666666666
2020-08-27,961.3333333333334,15002.333333333334
2020-09-27,948.75,14901.75
2020-10-27,936.1666666666666,14801.166666666666
2020-11-27,923.5833333333333,14700.583333333334
2020-12-27,911.0,14600.0
2021-01-27,930.5833333333334,14719.75
2021-02-27,950.1666666666666,14839.5
2021-03-27,969.75,14959.25
2021-04-27,989.3333333333334,15079.0
2021-05-27,1008.9166666666666,15198.75
2021-06-27,1028.5,15318.5
2021-07-27,1048.0833333333333,15438.25
2021-08-27,1067.6666666666667,15558.0
2021-09-27,1087.25,15677.75
2021-10-27,1106.8333333333333,15797.5
2021-11-27,1126.4166666666667,15917.25
2021-12-27,1146.0,16037.0
2022-01-27,1137.4166666666667,16601.666666666668
2022-02-27,1128.8333333333333,17166.333333333332
2022-03-27,1120.25,17731.0
2022-04-27,1111.6666666666667,18295.666666666668
2022-05-27,1103.0833333333333,18860.333333333332
2022-06-27,1094.5,19425.0
2022-07-27,1085.9166666666667,19989.666666666668
2022-08-27,1077.3333333333333,20554.333333333332
2022-09-27,1068.75,21119.0
2022-10-27,1060.1666666666667,21683.666666666664
2022-11-27,1051.5833333333333,22248.333333333332
2022-12-27,1043.0,22813.0
2023-01-27,1103.8333333333333,23151.833333333332
2023-02-27,1164.6666666666667,23490.666666666668
2023-03-27,1225.5,23829.5
2023-04-27,1286.3333333333333,24168.333333333332
2023-05-27,1347.1666666666667,24507.166666666668
2023-06-27,1408.0,24846.0
2023-07-27,1468.8333333333335,25184.833333333332
2023-08-27,1529.6666666666667,25523.666666666668
2023-09-27,1590.5,25862.5
2023-10-27,1651.3333333333335,26201.333333333332
2023-11-27,1712.1666666666667,26540.166666666668
2023-12-27,1773.0,26879.0
2024-01-27,1626.5,24659.0
2024-02-27,1480.0,22439.0
2024-03-27,1333.5,20219.0
2024-04-27,1187.0,17999.0
2024-05-27,1040.5,15779.0
2024-06-27,894.0,13559.0
2024-07-27,747.5,11339.0
2024-08-27,601.0,9119.0
2024-09-27,454.5,6899.0
2024-10-27,308.0,4679.0
2024-11-27,161.5,2459.0
2024-12-27,15.0,239.0
